TYPE	NAME	ABBREVIATION	TERM
4	Surveys	SURVEY.PCORNET	Patient Centered Outcomes Research Network (PCORnet) Common Data Model (CDM)
4	Surveys	SURVEY.PEG	Pain intensity, Enjoyment of life, General activity (PEG)
4	Surveys	SURVEY.PHQ	Patient Health Questionnaire (PHQ)
4	Surveys	SURVEY.PRAPARE	Protocol for Responding to and Assessing Patients Assets Risks and Experiences (PRAPARE)
4	Surveys	SURVEY.PROMIS	Patient Reported Outcomes Measurement System (PROMIS) survey
4	Surveys	SURVEY.QRDA	Quality Health Reporting Document Architecture (QRDA) survey
4	Surveys	SURVEY.RFC	Residual Functional Capacity (RFC) survey
4	Surveys	SURVEY.SAMHSA	Substance Abuse and Mental Health Services Administration (SAMHSA) survey
4	Surveys	SURVEY.SDOH	Social Determinants of Health
4	Surveys	SURVEY.SEEK	Safe Environment for Every Kid
4	Surveys	SURVEY.SKINDEX	Skindex
4	Surveys	SURVEY.USSGFHT	United States Surgeon General Family Health Tool (USSGFHT) survey
4	Surveys	SURVEY.WELLRX	WellRX Questionnaire
4	Surveys	TIMP	Test of Infant Motor Performance(TIMP) survey
